v /* c
v * c
v * c
v * c
v * c
v | v
v * c
v |* c
v /* c
v /* c
v /* c
v * c
v * c
v /* c
v /* c
c * v
v * c
v /* c
v * c
v /* c
v + c
v * c
v /* c
v * c
v /* c
v * c
v /* c
v * c
v /* c
v * c
v + c
v + c
v + c
v * c
v /* c
v * c
v /* c
v /* c
v /* c
v /* c
v /* c
v + c
v + v
v + c
v * c
v * c
v * c
v /* c
v * c
v /^ v
v * c
v /* c
v * c
v /* c
v |+ c
c * v
v * c
v * c
v * c
v * c
c * v
c * v
v * c
c * v
v /* c
v * c
v /* c
v /* c
v * c
v * c
v /* c
v * c
v * c
v | v
v /* c
v /* c
v /* c
v * c
v /* c
v * c
v /* c
v * c
v /* c
v /* c
v * c
v /? c
v /* c
v * c
v * c
v * c
v / c
v * c
v * c
v /* c
v /* c
v * c
v * c
v * c
v * c
v * c
v * c
v * c
v /* c
v * c
v * c
v * c
v /* c
v /* c
v * c
v /* c
v /* c
v /* c
v + c
v * c
v */* c
v * c
v */* c
v * c
v /* c
v * c
v /* c
v + c
v + c
v + c
v * c
v /* c
v * c
v /* c
v /* c
v /* c
v / c
v /* c
v + c
v /* c
v * c
v /* c
v * c
v * c
v + c
v * c
v * c
v * c
v * c
v + c
v * c
v * c
v * c
v * c
v * c
v /* c
v /* c
v + c
v /* c
v + c
v * c
v /* c
c * v
v * c
v /* c
v /* c
v /* c
v * c
v /* c
v * c
v /* c
v /* c
v /* c
v /* c
v /* c
v / c
v * c
v * c
v /* c
v /? c
v /* c
v /* c
v /* c
v * c
v ?/* c
v ?/* c
v * c
v + c
v /* c
v * c
v ^ v
c |* v
v /* c
v /* c
v /* c
v /* c
v /* c
v /* c
v /* c
v /* c
v /* c
v /* c
v + c
v * c
v /* c
v * c
v * c
v + c
v + c
v ^ v
v /* c
v +| c
v ||/* c
v /* c
v /* c
v * c
v * c
v /*/^ c
v * c
v * c
v * c
v /* c
v * c
v */^ c
v * c
v /* c
v /* c
c + v
v |||| v
v ||/* c
v /* c
v * c
v + c
v + c
v * c
v * c
v * c
v * c
v * c
v * c
c /* v
c /* v
v * c
v /* c
v /* c
v /*+ c
c * v
c * v
v / c
v /* c
v * c
v ?/* c
v /* c
v |* c
v /* c
v /* c
v * c
v * c
v * c
v * c
v /* c
v | v
v /* c
v |* c
v |* c
v * c
v * c
v |* c
v * c
v /* c
v * c
v */* c
v */* c
v */* c
v */* c
v */* c
v */* c
v */* c
v * c
v * c
v */ c
v * c
v * c
v +/* v
v +/* v
v * c
v / c
v /* c
v /* c
v / c
v + c
v /* c
v /? c
v ? c
v * c
v + c
v /* c
v *|* c
v * c
v /* c
v + c
v * c
v /* c
v /* c
v + c
v * c
v * c
v /* c
v + c
v * c
v * c
v * c
v * c
v /* c
v /* c
v /* c
v /* c
v * c
v * c
v * c
v * c
v * c
v * c
v * c
v * c
v * c
v /* c
v /* c
v * c
v * c
v /* c
v /* c
v * c
v * c
v + c
v + c
v + c
v +/+ c
v /*/* c
v | v
v |^ v
v ^ v
v + c
v //* c
v * c
v * c
v ? c
v /* c
v /* c
v /* c
v /* c
v /+ c
v /* c
v / c
v * c
v /* c
v /* c
v + c
v /* c
v * c
v ||||| v
v * c
c /* v
